Timestamp,Light Color,State,Response Time (s),Time Since Last Change (s),FPS,Runtime (s),Detection %,Confidences,Other Object Counter,Other Object Confidence % Average
2025-05-19T09:01:18.633295,RED,ON,6.090,6.090,9.86,9.44,64.52,motorcycle: 1,motorcycle:0.34,1,33.75
2025-05-19T09:01:18.701365,RED,ON,6.158,6.158,9.89,9.50,64.89,motorcycle: 1,motorcycle:0.43,1,42.95
2025-05-19T09:01:18.771712,RED,ON,6.229,6.229,9.92,9.57,65.26,motorcycle: 1,motorcycle:0.38,1,37.96
2025-05-19T09:01:18.835455,RED,ON,6.293,6.293,9.96,9.64,65.62,motorcycle: 1,motorcycle:0.50,1,50.23
2025-05-19T09:01:18.902425,RED,ON,6.360,6.360,10.00,9.70,65.98,motorcycle: 1,motorcycle:0.43,1,42.57
2025-05-19T09:01:18.966799,RED,ON,6.424,6.424,10.03,9.77,66.33,motorcycle: 1,motorcycle:0.35,1,35.28
2025-05-19T09:01:19.034283,RED,ON,6.491,6.491,10.06,9.84,65.66,,,0,0.00
2025-05-19T09:01:19.102345,RED,ON,6.559,6.559,10.10,9.90,66.00,motorcycle: 1,motorcycle:0.39,1,39.11
2025-05-19T09:01:19.165980,RED,ON,6.623,6.623,10.13,9.97,65.35,,,0,0.00
2025-05-19T09:01:19.233582,RED,ON,6.691,6.691,10.16,10.04,65.69,motorcycle: 1,motorcycle:0.31,1,31.06
2025-05-19T09:01:19.298033,RED,ON,6.755,6.755,10.20,10.10,66.02,motorcycle: 1,motorcycle:0.34,1,33.75
2025-05-19T09:01:19.365803,RED,ON,6.823,6.823,10.23,10.17,65.38,,,0,0.00
2025-05-19T09:01:19.433281,RED,ON,6.890,6.890,10.26,10.24,64.76,,,0,0.00
2025-05-19T09:01:19.497965,RED,ON,6.955,6.955,10.29,10.30,65.09,motorcycle: 1,motorcycle:0.33,1,33.36
2025-05-19T09:01:19.565770,RED,ON,7.023,7.023,10.32,10.37,64.49,,,0,0.00
2025-05-19T09:01:19.629368,RED,ON,7.086,7.086,10.35,10.43,63.89,,,0,0.00
2025-05-19T09:01:19.697412,RED,ON,7.155,7.155,10.38,10.50,64.22,motorcycle: 1,motorcycle:0.44,1,44.48
2025-05-19T09:01:19.761317,RED,ON,7.218,7.218,10.41,10.56,64.55,motorcycle: 1,motorcycle:0.38,1,37.58
2025-05-19T09:01:19.829452,RED,ON,7.287,7.287,10.44,10.63,63.96,,,0,0.00
2025-05-19T09:01:19.898046,RED,ON,7.355,7.355,10.47,10.70,64.29,motorcycle: 1,motorcycle:0.43,1,42.95
2025-05-19T09:01:19.961935,RED,ON,7.419,7.419,10.50,10.76,63.72,,,0,0.00
2025-05-19T09:01:20.029925,RED,ON,7.487,7.487,10.52,10.83,64.04,motorcycle: 1,motorcycle:0.36,1,36.05
2025-05-19T09:01:20.094052,RED,ON,7.551,7.551,10.55,10.90,63.48,,,0,0.00
2025-05-19T09:01:20.162609,RED,ON,7.620,7.620,10.58,10.96,62.93,,,0,0.00
2025-05-19T09:01:20.229632,RED,ON,7.687,7.687,10.61,11.03,63.25,motorcycle: 1,motorcycle:0.45,1,45.25
2025-05-19T09:01:20.293595,RED,ON,7.751,7.751,10.63,11.10,63.56,motorcycle: 1,motorcycle:0.45,1,45.25
2025-05-19T09:01:20.361612,RED,ON,7.819,7.819,10.66,11.16,63.87,motorcycle: 1,motorcycle:0.44,1,44.10
2025-05-19T09:01:20.425565,RED,ON,7.883,7.883,10.69,11.23,64.17,motorcycle: 1,motorcycle:0.40,1,40.26
2025-05-19T09:01:20.495362,RED,ON,7.952,7.952,10.71,11.30,64.46,motorcycle: 1,motorcycle:0.35,1,34.90
2025-05-19T09:01:20.562446,RED,ON,8.020,8.020,10.74,11.36,64.75,motorcycle: 1,motorcycle:0.33,1,32.59
2025-05-19T09:01:20.627040,RED,ON,8.084,8.084,10.76,11.43,64.23,,,0,0.00
2025-05-19T09:01:20.696663,RED,ON,8.154,8.154,10.78,11.50,63.71,,,0,0.00
2025-05-19T09:01:20.760831,RED,ON,8.218,8.218,10.81,11.56,63.20,,,0,0.00
2025-05-19T09:01:20.827684,RED,ON,8.285,8.285,10.83,11.63,62.70,,,0,0.00
2025-05-19T09:01:20.896179,RED,ON,8.353,8.353,10.86,11.70,62.99,motorcycle: 1,motorcycle:0.31,1,31.06
2025-05-19T09:01:20.959418,RED,ON,8.416,8.416,10.88,11.76,63.28,motorcycle: 1,motorcycle:0.45,1,44.87
2025-05-19T09:01:21.027322,RED,ON,8.484,8.484,10.91,11.83,62.79,,,0,0.00
2025-05-19T09:01:21.091987,RED,ON,8.549,8.549,10.93,11.89,62.31,,,0,0.00
2025-05-19T09:01:21.158559,RED,ON,8.616,8.616,10.95,11.96,61.83,,,0,0.00
2025-05-19T09:01:21.227378,RED,ON,8.684,8.684,10.97,12.03,62.12,motorcycle: 1,motorcycle:0.31,1,31.44
2025-05-19T09:01:21.290069,RED,ON,8.747,8.747,11.00,12.09,61.65,,,0,0.00
2025-05-19T09:01:21.358842,RED,ON,8.816,8.816,11.02,12.16,61.19,,,0,0.00
2025-05-19T09:01:21.421767,RED,ON,8.879,8.879,11.04,12.22,61.48,motorcycle: 1,motorcycle:0.50,1,50.23
2025-05-19T09:01:21.490021,RED,ON,8.947,8.947,11.06,12.29,61.76,motorcycle: 1,motorcycle:0.38,1,37.96
2025-05-19T09:01:21.557477,RED,ON,9.015,9.015,11.08,12.36,62.04,motorcycle: 1,motorcycle:0.41,1,41.41
2025-05-19T09:01:21.623709,RED,ON,9.081,9.081,11.11,12.43,61.59,,,0,0.00
2025-05-19T09:01:21.689844,RED,ON,9.147,9.147,11.13,12.49,61.87,motorcycle: 1,motorcycle:0.41,1,41.41
2025-05-19T09:01:21.754990,RED,ON,9.212,9.212,11.15,12.56,62.14,motorcycle: 1,motorcycle:0.38,1,37.58
2025-05-19T09:01:21.821089,RED,ON,9.278,9.278,11.17,12.62,61.70,,,0,0.00
2025-05-19T09:01:21.888363,RED,ON,9.345,9.345,11.19,12.69,61.97,motorcycle: 1,motorcycle:0.43,1,42.95
2025-05-19T09:01:21.951403,RED,ON,9.408,9.408,11.21,12.75,62.24,motorcycle: 1,motorcycle:0.41,1,41.41
2025-05-19T09:01:22.019524,RED,ON,9.477,9.477,11.23,12.82,62.50,motorcycle: 1,motorcycle:0.31,1,30.68
2025-05-19T09:01:22.082244,RED,ON,9.539,9.539,11.25,12.88,62.76,motorcycle: 1,motorcycle:0.33,1,32.59
2025-05-19T09:01:22.150094,RED,ON,9.607,9.607,11.27,12.95,62.33,,,0,0.00
2025-05-19T09:01:22.214511,RED,ON,9.672,9.672,11.29,13.02,61.90,,,0,0.00
